"0", 2.04103e-08, 1, 6.83155e-07, 0.058435, 1, -2.10228e-08, 0.000896621, -3.3868e-07, 0.000896621, 6.83136e-07, -1, 500.452, 0, 0, 0, 1, -8.26443e-15, -3.84696, 480.968, 3.84935, 0.00239728, 100.457, -1.33374e-17, 8.24127e-06, 1, 3390.97, 3390.97, 3010.04, 3010.04, 2884.46, 3265.54, 3265.39, 2884.61, 
"1", 1.71034e-06, 1, 7.95038e-05, 0.232036, 0.99998, -2.21734e-06, 0.00637755, -3.94073e-05, 0.00637756, 7.94912e-05, -0.99998, 500.31, 0, 0, 0, 1, 0.000206618, -3.84109, 481.846, 3.85831, 0.0171424, 100.991, 7.41023e-07, 5.87422e-05, 1, 3393.85, 3393.83, 3013, 3012.99, 2883.99, 3265.93, 3264.82, 2885.09, 
"2", 2.30884e-06, 1, 0.000205532, 0.515651, 0.999831, -6.08837e-06, 0.018391, -0.000102745, 0.018391, 0.000205455, -0.999831, 500.087, 0, 0, 0, 1, 0.000525877, -3.82982, 481.149, 3.87897, 0.0498885, 100.933, 1.90228e-06, 0.000170348, 1, 3400.15, 3400.11, 3019.34, 3019.31, 2882.93, 3266.86, 3263.68, 2886.12, 
"3", 3.86974e-06, 1, 0.000264108, 0.905105, 0.99946, -1.25494e-05, 0.032872, -0.000137752, 0.032872, 0.000263838, -0.99946, 499.799, 0, 0, 0, 1, 0.000663675, -3.81731, 481.86, 3.90439, 0.0901039, 100.659, 2.46512e-06, 0.000306645, 1, 3407.86, 3407.81, 3026.92, 3026.88, 2881.66, 3268.07, 3262.38, 2887.35, 
"6", 9.6138e-05, 0.999999, -0.00113329, 2.65175, 0.998686, -3.79382e-05, 0.0512433, 0.00053264, 0.0512433, -0.00113673, -0.998686, 498.716, 0, 0, 0, 1, -0.00320651, -3.79605, 481.399, 3.92595, 0.141609, 100.003, -1.0667e-05, 0.000482174, 1, 3418.4, 3418.59, 3037.58, 3037.78, 2881, 3270.19, 3261.27, 2889.83, 
"7", -4.9493e-05, 1, 6.48931e-05, 3.39907, 0.99855, 4.59278e-05, 0.0538335, 1.77145e-05, 0.0538335, 6.74633e-05, -0.99855, 498.32, 0, 0, 0, 1, 0.000354707, -3.79386, 481.32, 3.93365, 0.149895, 100.256, 6.08848e-07, 0.000507513, 1, 3420.32, 3420.33, 3039.7, 3039.67, 2880.26, 3269.66, 3260.36, 2889.59, 
"8", -0.000298897, 0.999999, 0.00155822, 4.2172, 0.998446, 0.000211606, 0.0557218, -0.000619965, 0.0557214, 0.00157245, -0.998445, 497.919, 0, 0, 0, 1, 0.0050393, -3.79268, 480.938, 3.94129, 0.156587, 100.407, 1.47145e-05, 0.00052619, 1, 3421.94, 3421.74, 3041.58, 3041.24, 2879.41, 3268.88, 3259.37, 2889.17, 
"9", -0.000473755, 0.999994, 0.00342937, 5.10017, 0.998356, 0.000276404, 0.0573206, -0.00150199, 0.0573193, 0.00345089, -0.99835, 497.516, 0, 0, 0, 1, 0.0103748, -3.79183, 481.51, 3.95013, 0.162132, 100.412, 3.24325e-05, 0.000542225, 1, 3423.51, 3422.99, 3043.38, 3042.71, 2878.41, 3267.9, 3258.21, 2888.53, 
"10", -0.000374961, 0.999985, 0.00552389, 6.04245, 0.998242, 4.69476e-05, 0.0592617, -0.00266885, 0.0592605, 0.0055364, -0.998227, 497.113, 0, 0, 0, 1, 0.0151485, -3.79171, 481.395, 3.96083, 0.167578, 100.326, 5.23625e-05, 0.000561714, 1, 3425.4, 3424.4, 3045.35, 3044.43, 2877.33, 3266.91, 3256.87, 2887.76, 
"18", 0.00479211, 0.999974, 0.00534684, 15.3358, 0.992536, -0.0054079, 0.121834, -0.02768, 0.121859, 0.00472309, -0.992536, 494.533, 0, 0, 0, 1, -0.00736598, -3.76114, 485.64, 4.0836, 0.340687, 100.669, 5.25293e-05, 0.00119689, 1, 3467.64, 3464.4, 3082.17, 3083.29, 2872.67, 3274.33, 3251.38, 2892.16, 
"19", 0.00443871, 0.999971, 0.00616312, 16.7521, 0.988942, -0.0053032, 0.148208, -0.0368297, 0.148236, 0.00543712, -0.988937, 494.68, 0, 0, 0, 1, -0.00488237, -3.76946, 489.41, 4.15847, 0.432846, 100.758, 6.16001e-05, 0.00148128, 1, 3484.41, 3480.96, 3095.41, 3096.37, 2868.76, 3277.34, 3249.72, 2893.24, 
